drug_1,drug_2,severity
omeprazole,amiodarone,1
clarithromycin,omeprazole,1
ketoprofen,tramadol,1
pravastatin,azithromycin,3
fluoxetine,warfarin,3
alprazolam,dabigatran,1
azithromycin,dexketoprofen,1
erythromycin,rivaroxaban,1
escitalopram,codeine,2
pravastatin,paracetamol,1
paroxetine,apixaban,1
dabigatran,alprazolam,1
rivaroxaban,erythromycin,1
acetaminophen,morphine,1
esomeprazole,warfarin,1
vitamin c,naproxen,1
b12,rosuvastatin,1
diclofenac,vitamin c,1
edoxaban,erythromycin,1
diclofenac,pantoprazole,1
b12,paracetamol,1
simvastatin,clonazepam,1
dabigatran,diazepam,1
clarithromycin,enterogermina,1
paracetamol,pravastatin,1
morphine,clarithromycin,1
sertraline,dexketoprofen,2
esomeprazole,ibuprofen,1
simvastatin,warfarin,1
naproxen,enterogermina,1
oxycodone,morphine,1
vitamin c,sertraline,1
diazepam,probiotic,1
vitamin c,clarithromycin,1
codeine,alprazolam,3
erythromycin,rosuvastatin,3
erythromycin,pantoprazole,1
b12,dabigatran,1
oxycodone,clarithromycin,1
diclofenac,sertraline,2
b12,folic acid,1
sertraline,ibuprofen,2
vitamin d,atorvastatin,1
paracetamol,paroxetine,1
rosuvastatin,clonazepam,1
folic acid,simvastatin,1
esomeprazole,ibuprofen,1
esomeprazole,dabigatran,1
probiotic,naproxen,1
acetaminophen,clarithromycin,1
erythromycin,morphine,1
rosuvastatin,edoxaban,1
naproxen,paracetamol,1
dabigatran,azithromycin,1
paracetamol,azithromycin,1
fluoxetine,pravastatin,1
fluoxetine,naproxen,2
erythromycin,escitalopram,1
ibuprofen,apixaban,1
morphine,tramadol,1
pantoprazole,naproxen,1
oxycodone,vitamin d,1
paroxetine,codeine,2
clonazepam,morphine,3
erythromycin,lorazepam,1
apixaban,alprazolam,1
diclofenac,naproxen,1
fluoxetine,acetaminophen,1
acetaminophen,oxycodone,1
clarithromycin,paracetamol,1
clarithromycin,atorvastatin,3
edoxaban,paroxetine,1
probiotic,fluoxetine,1
omeprazole,alprazolam,1
pravastatin,erythromycin,3
codeine,omeprazole,1
paracetamol,atorvastatin,1
clonazepam,probiotic,1
erythromycin,rivaroxaban,1
edoxaban,rivaroxaban,1
fluoxetine,vitamin d,1
clarithromycin,paroxetine,1
warfarin,rosuvastatin,1
omeprazole,fluoxetine,1
warfarin,acetaminophen,1
fluoxetine,ibuprofen,2
ibuprofen,clarithromycin,1
rosuvastatin,esomeprazole,2
diazepam,azithromycin,1
pravastatin,fluoxetine,1
clonazepam,azithromycin,1
acetaminophen,vitamin c,1
rosuvastatin,ibuprofen,1
ibuprofen,sertraline,2
azithromycin,amiodarone,3
clonazepam,codeine,3
diazepam,amiodarone,3
warfarin,folic acid,1
vitamin c,amiodarone,1
erythromycin,dabigatran,1
rosuvastatin,vitamin d,1
enterogermina,paracetamol,1
tramadol,dexketoprofen,1
naproxen,pravastatin,1
alprazolam,paracetamol,1
clarithromycin,diclofenac,1
clarithromycin,edoxaban,1
lorazepam,probiotic,1
rivaroxaban,diazepam,1
naproxen,ketoprofen,1
omeprazole,enterogermina,1
ketoprofen,paroxetine,2
probiotic,sertraline,1
pravastatin,tramadol,1
probiotic,esomeprazole,1
naproxen,vitamin d,1
pantoprazole,probiotic,1
alprazolam,dexketoprofen,1
diazepam,oxycodone,3
tramadol,fluoxetine,2
probiotic,enterogermina,1
oxycodone,naproxen,1
rosuvastatin,probiotic,1
warfarin,diclofenac,3
sertraline,acetaminophen,1
ketoprofen,edoxaban,1
acetaminophen,diclofenac,1
pantoprazole,enterogermina,1
vitamin d,rosuvastatin,1
b12,fluoxetine,1
paracetamol,omeprazole,1
warfarin,pantoprazole,1
atorvastatin,apixaban,1
atorvastatin,clarithromycin,3
vitamin c,tramadol,1
vitamin d,omeprazole,1
folic acid,acetaminophen,1
pantoprazole,amiodarone,1
omeprazole,tramadol,1
ketoprofen,lorazepam,1
b12,azithromycin,1
azithromycin,probiotic,1
azithromycin,simvastatin,3
edoxaban,alprazolam,1
apixaban,morphine,1
clarithromycin,diazepam,1
rosuvastatin,codeine,1
atorvastatin,enterogermina,1
pravastatin,dexketoprofen,1
lorazepam,folic acid,1
erythromycin,lorazepam,1
rivaroxaban,b12,1
erythromycin,b12,1
paracetamol,amiodarone,1
b12,sertraline,1
lorazepam,b12,1
diclofenac,vitamin d,1
clarithromycin,esomeprazole,1
edoxaban,enterogermina,1
ibuprofen,lorazepam,1
paroxetine,enterogermina,1
diclofenac,simvastatin,1
b12,folic acid,1
tramadol,enterogermina,1
folic acid,clarithromycin,1
pravastatin,paroxetine,1
folic acid,tramadol,1
erythromycin,morphine,1
b12,diclofenac,1
pravastatin,paracetamol,1
esomeprazole,ketoprofen,1
sertraline,paroxetine,1
alprazolam,atorvastatin,1
vitamin d,simvastatin,1
folic acid,diclofenac,1
sertraline,acetaminophen,1
morphine,escitalopram,2
acetaminophen,erythromycin,1
diazepam,tramadol,3
atorvastatin,vitamin d,1
vitamin d,ketoprofen,1
codeine,sertraline,2
lorazepam,edoxaban,1
fluoxetine,edoxaban,1
pantoprazole,morphine,1
edoxaban,folic acid,1
vitamin d,folic acid,1
alprazolam,vitamin c,1
erythromycin,simvastatin,3
ibuprofen,pantoprazole,1
probiotic,pravastatin,1
tramadol,erythromycin,1
fluoxetine,alprazolam,2
clarithromycin,edoxaban,1
dexketoprofen,omeprazole,1
sertraline,ketoprofen,2
clarithromycin,simvastatin,3
clarithromycin,azithromycin,1
probiotic,warfarin,1
edoxaban,esomeprazole,1
dexketoprofen,clarithromycin,1
edoxaban,erythromycin,1
vitamin d,erythromycin,1
erythromycin,warfarin,3
atorvastatin,omeprazole,2
esomeprazole,pravastatin,2
ketoprofen,fluoxetine,2
azithromycin,vitamin d,1
acetaminophen,atorvastatin,1
erythromycin,naproxen,1
clarithromycin,paracetamol,1
tramadol,clarithromycin,1
paracetamol,lorazepam,1
codeine,diazepam,3
lorazepam,pantoprazole,1
codeine,diazepam,3
warfarin,clarithromycin,3
warfarin,erythromycin,3
warfarin,clonazepam,1
alprazolam,naproxen,1
erythromycin,escitalopram,1
folic acid,omeprazole,1
amiodarone,fluoxetine,3
vitamin c,fluoxetine,1
acetaminophen,diazepam,1
rosuvastatin,ibuprofen,1
erythromycin,oxycodone,1
escitalopram,warfarin,3
oxycodone,diazepam,3
vitamin c,amiodarone,1
azithromycin,dexketoprofen,1
oxycodone,escitalopram,2
escitalopram,diclofenac,2
ketoprofen,rosuvastatin,1
amiodarone,diclofenac,1
lorazepam,enterogermina,1
b12,edoxaban,1
morphine,alprazolam,3
atorvastatin,fluoxetine,1
vitamin c,enterogermina,1
morphine,lorazepam,3
alprazolam,erythromycin,1
oxycodone,simvastatin,1
ketoprofen,ibuprofen,1
naproxen,vitamin d,1
escitalopram,diazepam,2
pravastatin,azithromycin,3
tramadol,rosuvastatin,1
erythromycin,fluoxetine,1
clarithromycin,esomeprazole,1
naproxen,rosuvastatin,1
fluoxetine,atorvastatin,1
atorvastatin,morphine,1
apixaban,oxycodone,1
sertraline,morphine,2
morphine,vitamin c,1
ketoprofen,oxycodone,1
b12,atorvastatin,1
edoxaban,naproxen,1
clarithromycin,codeine,1
naproxen,diazepam,1
edoxaban,paroxetine,1
escitalopram,diclofenac,2
paracetamol,vitamin c,1
naproxen,morphine,1
fluoxetine,folic acid,1
diazepam,ibuprofen,1
edoxaban,atorvastatin,1
apixaban,probiotic,1
enterogermina,morphine,1
diclofenac,paroxetine,2
simvastatin,warfarin,1
ketoprofen,sertraline,2
ibuprofen,erythromycin,1
morphine,ibuprofen,1
paroxetine,escitalopram,1
atorvastatin,rosuvastatin,1
pantoprazole,esomeprazole,1
apixaban,esomeprazole,1
b12,omeprazole,1
